"id","code","name","active"
"hr_profession_1112_30","1112 30","Iestādes VADĪTĀJA VIETNIEKS/ ĢENERĀLDIREKTORA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS",0
"hr_profession_1112_31","1112 31","Pārvaldes VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS",0
"hr_profession_1112_32","1112 32","Pārvaldes VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS",0
"hr_profession_1112_33","1112 33","Pulka KOMANDIERIS (iekšlietu jomā)",0
"hr_profession_1112_34","1112 34","Pulka KOMANDIERA VIETNIEKS (iekšlietu jomā)",0
"hr_profession_1112_35","1112 35","Valsts robežas PILNVAROTAIS",0
"hr_profession_1112_36","1112 36","Pašvaldības iestādes VADĪTĀJS/ PRIEKŠNIEKS",0
"hr_profession_1112_37","1112 37","Pašvaldības iestādes VADĪTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS",0
"hr_profession_1112_38","1112 38","Pašvaldības IZPILDDIREKTORS",0
"hr_profession_1112_39","1112 39","Pašvaldības IZPILDDIREKTORA VIETNIEKS",0
"hr_profession_1112_40","1112 40","Komisijas PRIEKŠSĒDĒTĀJS (valsts pārvaldes jomā un pašvaldībās)",0
"hr_profession_1112_41","1112 41","Komisijas PRIEKŠSĒDĒTĀJA VIETNIEKS (valsts pārvaldes jomā un pašvaldībās)",0
"hr_profession_1112_42","1112 42","Komisijas LOCEKLIS (valsts pārvaldes jomā un pašvaldībās)",0
"hr_profession_1112_43","1112 43","Komisijas SEKRETĀRS (valsts pārvaldes jomā un pašvaldībās)",0
"hr_profession_1112_44","1112 44","TIESĪBSARGS",0
"hr_profession_1112_45","1112 45","Padomes LOCEKLIS (valsts pārvaldes jomā un pašvaldībās)",0
"hr_profession_1112_46","1112 46","Kolēģijas LOCEKLIS (valsts pārvaldes jomā)",0
"hr_profession_1112_47","1112 47","Ārkārtējais un pilnvarotais VĒSTNIEKS",0
"hr_profession_1112_48","1112 48","Speciālo uzdevumu VĒSTNIEKS",0
"hr_profession_1112_49","1112 49","ĢENERĀLINSPEKTORS (ārlietu jomā)",0
"hr_profession_1112_50","1112 50","VĒSTNIEKS",0
"hr_profession_1112_51","1112 51","Pilnvarotais LIETVEDIS",0
"hr_profession_1112_52","1112 52","Pagaidu pilnvarotais LIETVEDIS",0
"hr_profession_1112_53","1112 53","PADOMNIEKS (ārlietu jomā)",0
"hr_profession_1112_54","1112 54","ĢENERĀLKONSULS",0
"hr_profession_1112_56","1112 56","Reģiona attīstības padomes PRIEKŠSĒDĒTĀJS",0
"hr_profession_1112_57","1112 57","Reģiona attīstības padomes LOCEKLIS",0
"hr_profession_1112_59","1112 59","Pastāvīgais PĀRSTĀVIS (ārlietu jomā)",0
"hr_profession_1112_60","1112 60","Konsulāta VADĪTĀJS",0
"hr_profession_1112_61","1112 61","Saeimas Kancelejas DIREKTORS",0
"hr_profession_1112_62","1112 62","Saeimas Kancelejas DIREKTORA VIETNIEKS",0
"hr_profession_1112_63","1112 63","Saeimas Administrācijas ĢENERĀLSEKRETĀRS",0
"hr_profession_1112_64","1112 64","Saeimas Administrācijas IZPILDDIREKTORS",0
"hr_profession_1114_01","1114 01","Biedrības vai nodibinājuma VADĪTĀJS/ PREZIDENTS/ VICEPREZIDENTS/ ĢENERĀLDIREKTORS/ ĢENERĀLSEKRETĀRS/ PRIEKŠSĒDĒTĀJS/ IZPILDDIREKTORS",0
"hr_profession_1114_02","1114 02","Biedrības vai nodibinājuma VADĪTĀJA VIETNIEKS/ PREZIDENTA VIETNIEKS/ VICEPREZIDENTA VIETNIEKS/ ĢENERĀLDIREKTORA VIETNIEKS/ ĢENERĀLSEKRETĀRA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS/ IZPILDDIREKTORA VIETNIEKS",0
"hr_profession_1114_03","1114 03","Biedrības vai nodibinājuma valdes PRIEKŠSĒDĒTĀJS",0
"hr_profession_1114_04","1114 04","Biedrības vai nodibinājuma valdes LOCEKLIS",0
"hr_profession_1114_05","1114 05","Arodbiedrības VADĪTĀJS/ PREZIDENTS/ PRIEKŠSĒDĒTĀJS",0
"hr_profession_1114_06","1114 06","Arodbiedrības VADĪTĀJA VIETNIEKS/ VICEPREZIDENTS/ PRIEKŠSĒDĒTĀJA VIETNIEKS",0
"hr_profession_1114_07","1114 07","Arodorganizācijas VADĪTĀJS/ PRIEKŠSĒDĒTĀJS",0
"hr_profession_1114_08","1114 08","Politiskās partijas VADĪTĀJS/ PREZIDENTS/ PRIEKŠSĒDĒTĀJS/ ĢENERĀLSEKRETĀRS",0
"hr_profession_1114_09","1114 09","Arodorganizācijas VADĪTĀJA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS",0
"hr_profession_1120_01","1120 01","VADĪTĀJS/ DIREKTORS/ ĢENERĀLDIREKTORS/ PĀRVALDNIEKS/ PREZIDENTS/ VICEPREZIDENTS/ IZPILDDIREKTORS/ PRIEKŠSĒDĒTĀJS/ PRIEKŠ­NIEKS/ ĢENERĀLSEKRETĀRS",0
"hr_profession_1120_02","1120 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ ĢENERĀLDIREKTORA VIETNIEKS/ PĀRVALDNIEKA VIETNIEKS/ PREZIDENTA VIETNIEKS/ VICEPREZIDENTA VIETNIEKS/ IZPILDDIREKTORA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS/ PRIEKŠNIEKA VIETNIEKS/ RĪKOTĀJDIREKTORS",0
"hr_profession_1120_03","1120 03","Tehniskais DIREKTORS",0
"hr_profession_1120_04","1120 04","KOMERCDIREKTORS",0
"hr_profession_1120_05","1120 05","Ekonomikas DIREKTORS",0
"hr_profession_1120_06","1120 06","Ražošanas DIREKTORS",0
"hr_profession_1120_07","1120 07","Apgādes DIREKTORS",0
"hr_profession_1120_08","1120 08","Loģistikas DIREKTORS",0
"hr_profession_1120_10","1120 10","Valdes PRIEKŠSĒDĒTĀJS/ VADĪTĀJS",0
"hr_profession_1120_11","1120 11","Valdes PRIEKŠSĒDĒTĀJA VIETNIEKS/ VADĪTĀJA VIETNIEKS",0
"hr_profession_1120_12","1120 12","Padomes VADĪTĀJS/ PRIEKŠSĒDĒTĀJS",0
"hr_profession_1120_13","1120 13","Komisijas VADĪTĀJS/ PRIEKŠSĒDĒTĀJS",0
"hr_profession_1120_14","1120 14","Valdes LOCEKLIS",0
"hr_profession_1120_15","1120 15","Padomes LOCEKLIS",0
"hr_profession_1120_16","1120 16","Kolēģijas LOCEKLIS",0
"hr_profession_1120_17","1120 17","PROKŪRISTS",0
"hr_profession_1120_18","1120 18","Kapitāldaļu turētāja PĀRSTĀVIS",0
"hr_profession_1120_19","1120 19","Padomes VADĪTĀJA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS",0
"hr_profession_1120_20","1120 20","Komisijas VADĪTĀJA VIETNIEKS/ PRIEKŠSĒDĒTĀJA VIETNIEKS",0
"hr_profession_1120_21","1120 21","Zinātniskais DIREKTORS",0
"hr_profession_1120_22","1120 22","Atbildīgais aviācijas VADĪTĀJS",0
"hr_profession_1211_01","1211 01","VADĪTĀJS/ DIREKTORS/ PĀRVALDNIEKS (komercpakalpojumu jomā)",0
"hr_profession_1211_02","1211 02","VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS/ IZPILDDIREKTORS (komercpakalpojumu jomā)",0
"hr_profession_1211_03","1211 03","Finanšu DIREKTORS",0
"hr_profession_1211_04","1211 04","Galvenais GRĀMATVEDIS",0
"hr_profession_1211_05","1211 05","Galvenā GRĀMATVEŽA VIETNIEKS",0
"hr_profession_1211_06","1211 06","Administratīvais DIREKTORS",0
"hr_profession_1211_07","1211 07","Administratīvā DIREKTORA VIETNIEKS",0
"hr_profession_1211_08","1211 08","Pamatdarbības struktūrvienības VADĪTĀJS (komercpakalpojumu jomā)",0
"hr_profession_1211_09","1211 09","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS (komercpakalpojumu jomā)",0
"hr_profession_1211_30","1211 30","Galvenās kases VADĪTĀJS",0
"hr_profession_1211_31","1211 31","Starptautiskā norēķinu centra VADĪTĀJS",0
"hr_profession_1211_36","1211 36","Kancelejas VADĪTĀJS/ PĀRVALDNIEKS/ DIREKTORS",0
"hr_profession_1211_37","1211 37","Kancelejas VADĪTĀJA VIETNIEKS/ PĀRVALDNIEKA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1211_50","1211 50","Pamatdarbības atbalsta struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1211_51","1211 51","Pamatdarbības atbalsta struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1212_01","1212 01","Personāla DIREKTORS",0
"hr_profession_1212_04","1212 04","Personāla/ personāvadības struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1212_05","1212 05","Personāla/ personālvadības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1212_06","1212 06","Personāla mācību VADĪTĀJS",0
"hr_profession_1213_01","1213 01","Pārvaldes DIREKTORS (valsts pārvaldes jomā)",0
"hr_profession_1213_02","1213 02","Pārvaldes DIREKTORA VIETNIEKS (valsts pārvaldes jomā)",0
"hr_profession_1213_03","1213 03","Nozares politikas un politikas plānošanas struktūrvienības VADĪTĀJS/ DIREKTORS",0
"hr_profession_1213_04","1213 04","Nozares politikas un politikas plānošanas struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS",0
"hr_profession_1213_05","1213 05","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (valsts pārvaldes jomā)",0
"hr_profession_1213_06","1213 06","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (valsts pārvaldes jomā)",0
"hr_profession_1213_07","1213 07","Ārējo sakaru struktūrvienības VADĪTĀJS",0
"hr_profession_1213_08","1213 08","Ārējo sakaru struktūrvienības VADĪTĀJA VIETNIEKS",0
"hr_profession_1213_09","1213 09","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (ārlietu jomā)",0
"hr_profession_1213_10","1213 10","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (ārlietu jomā)",0
"hr_profession_1213_11","1213 11","Muitas iestādes struktūrvienības VADĪTĀJS",0
"hr_profession_1213_12","1213 12","VIRSUZRAUGS (muitas jomā)",0
"hr_profession_1213_13","1213 13","VIRSUZRAUGA VIETNIEKS (muitas jomā)",0
"hr_profession_1213_14","1213 14","Muitas maiņas VADĪTĀJS",0
"hr_profession_1213_15","1213 15","Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS (nodokļu administrēšanas un muitas jomā)",0
"hr_profession_1213_16","1213 16","Pamatdarbības struktūrvienības VADĪTĀJA VIETNIEKS/ DIREKTORA VIETNIEKS (nodokļu administrēšanas un muitas jomā)",0
